Timestamp,Background,Gender,Position,Region,Overall_scientific,Intro_bioinfo,Intro_lab,RobertVaser_workshop,StephanOssowski_lecture,AndrejPrjibelski_workshop,PavelLabaj_lecture,MonikaGos_lecture,FritzSedlazeck_workshop,AndreKahles_workshop,JozefNosek_lecture,KamilJanuszkiweicz_lecture,LeszekPryszcz_lecture,AlbaSanchisJuan_workshop,NikolaiKulemin_workshop,RosaFernandez_lecture,FranSupek_lecture,attended_hackathon,main_hackathon,impression_main_hackathon,juggling_freetime,BBQ_freetime,ShotTalks_freetime,Sightseeing_freetime,first_Szklarnia_freetime,KiraQuest_freetime,killerGame_freetime,final_Szklarnia_freetime,Overall_freetime,accomodation_venue,coffeeBreaks_venue,meals_venue,organisation_overall,recommendation,useful,dewey,recommend
10/1/2018 13:00:36,More dry lab,Female,PostDoc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Good,Skipped the session,Good,Excellent,Excellent,Good,Good,Good,Excellent,Good,Good,Excellent,Excellent,Average,Good,Good,"Human SVs, Fungi",Human SVs,Useful,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Skipped the session,Good,Good,It was OK,It was OK,It was OK,Excellent,Strongly yes,Amazingly useful,I know de wey!,Strongly yes
10/1/2018 13:04:24,More dry lab,Male,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Average,Good,Below average,Average,Excellent,Skipped the session,Skipped the session,Good,Good,Average,Average,Good,Good,Skipped the session,Skipped the session,Average,"",Human SVs,More like waste of time,Excellent,Excellent,Skipped the session,Excellent,Normal,Excellent,Good,Skipped the session,Good,It was OK,It was OK,It was OK,Good,Yes,Quite useful,Don't understand the question,Yes
10/1/2018 13:06:21,More dry lab,Male,MSc,Western Europe (Germany and more to the West),Excellent,Skipped the session,Good,Good,Excellent,Average,Good,Good,Good,Excellent,Good,Average,Excellent,Skipped the session,Below average,Excellent,Excellent,Fungi,Fungi,Super useful,Good,Excellent,Good,Normal,Good,Excellent,Good,Excellent,Good,It was OK,It was OK,It was OK,Excellent,Strongly yes,Amazingly useful,Don't understand the question,Strongly yes
10/1/2018 13:08:52,More dry lab,Male,PostDoc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Good,Skipped the session,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Below average,Excellent,Excellent,Below average,Good,Excellent,Fungi,Fungi,Useful,Excellent,Excellent,Excellent,Good,Good,Excellent,Normal,Excellent,Excellent,It was OK,It was OK,It was OK,Good,Strongly yes,"Yes, it was really useful",Not at all,Strongly yes
10/1/2018 13:30:01,More dry lab,Male,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Average,Skipped the session,Below average,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Good,Excellent,Excellent,Average,Excellent,Excellent,"Mitochondrial DNA, Human SVs",Human SVs,May be useful,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,"Yes, it was really useful",I know de wey!,Strongly yes
10/1/2018 13:32:54,More dry lab,Female,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Good,Skipped the session,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Skipped the session,Good,Good,Excellent,Excellent,Good,Skipped the session,Excellent,Metagenomics,Metagenomics,Super useful,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,Amazingly useful,Not at all,Strongly yes
10/1/2018 15:16:53,More dry lab,Male,PhD,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Average,Average,Skipped the session,Good,Good,Good,Average,Average,Excellent,Good,Good,Average,Good,Good,Below average,Skipped the session,Skipped the session,Human SVs,Human SVs,May be useful,Excellent,Skipped the session,Skipped the session,Excellent,Normal,Good,Below my expectations,Skipped the session,Normal,It was terrible,It was OK,It was OK,Normal,Yes,Quite useful,Don't understand the question,Yes
10/1/2018 15:17:42,More dry lab,Male,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Skipped the session,Skipped the session,Average,Excellent,Excellent,Good,Good,Good,Excellent,Good,Average,Excellent,Good,Below average,Good,Good,Fungi,Fungi,Super useful,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,It was OK,It was OK,It was OK,Good,Strongly yes,"Yes, it was really useful",I know de wey!,Strongly yes
10/1/2018 17:17:33,More dry lab,Female,MSc,Western Europe (Germany and more to the West),Good,Skipped the session,Good,Average,Good,Excellent,Excellent,Good,Good,Excellent,Good,Good,Good,Excellent,Average,Good,Excellent,Fungi,Fungi,Useful,Excellent,Good,Good,Good,Normal,Good,Good,Good,Good,It was OK,It was OK,It was OK,Good,Yes,"Yes, it was really useful",I know de wey!,Yes
10/1/2018 23:51:15,More wet lab,Female,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Average,Skipped the session,Average,Good,Good,Good,Good,Good,Good,Good,Below average,Good,Good,Good,Skipped the session,Good,Metagenomics,Metagenomics,May be useful,Excellent,Excellent,Excellent,Normal,Good,Excellent,Excellent,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,"Yes, it was really useful",Not at all,Strongly yes
