Gender,Age,Continent,Height,Weight,OTU,Count
female,18,Asia,186,72,OTU80,55
female,18,Europe,160,77,OTU80,2519
female,18,Europe,156,88,OTU80,419
female,18,Europe,189,61,OTU80,4115
female,18,Europe,160,67,OTU80,4746
female,18,Europe,178,65,OTU80,1053
female,18,Europe,157,89,OTU80,3109
female,18,North America,181,82,OTU80,1290
female,19,Europe,164,62,OTU80,4816
female,19,North America,179,87,OTU80,2087
female,19,North America,188,69,OTU80,1008
female,20,Europe,184,65,OTU80,38
female,21,Asia,162,90,OTU80,4444
female,21,Europe,166,78,OTU80,1132
female,21,Europe,179,70,OTU80,158
female,21,Europe,157,80,OTU80,3258
female,22,Europe,168,84,OTU80,2417
female,22,Europe,174,58,OTU80,3921
female,22,Europe,182,77,OTU80,4127
female,22,North America,158,87,OTU80,750
female,23,Europe,157,83,OTU80,1924
female,23,Europe,190,64,OTU80,495
female,24,Europe,187,82,OTU80,2112
female,24,Europe,160,61,OTU80,277
female,24,Europe,184,55,OTU80,412
female,24,North America,164,89,OTU80,4589
female,24,North America,169,90,OTU80,4342
female,25,Europe,188,83,OTU80,2608
female,25,North America,179,67,OTU80,93
female,25,North America,178,76,OTU80,3993
female,26,Europe,168,88,OTU80,1646
female,26,Europe,179,64,OTU80,2262
female,26,Europe,155,73,OTU80,4883
female,26,Europe,160,68,OTU80,2929
female,27,Asia,170,64,OTU80,468
female,27,Europe,173,59,OTU80,2074
female,27,Europe,186,82,OTU80,3586
female,27,Europe,164,87,OTU80,3124
female,27,North America,186,57,OTU80,570
female,28,Asia,166,77,OTU80,4212
female,28,Europe,175,85,OTU80,2468
female,28,Europe,163,63,OTU80,3626
female,29,Asia,164,73,OTU80,4708
female,29,Europe,159,75,OTU80,4048
female,29,Europe,184,85,OTU80,996
female,29,North America,166,65,OTU80,876
female,29,North America,170,67,OTU80,3435
female,29,North America,167,81,OTU80,447
female,29,North America,181,66,OTU80,4904
female,30,Europe,166,87,OTU80,494
female,30,North America,161,78,OTU80,2083
female,30,North America,181,57,OTU80,1597
female,31,Europe,166,77,OTU80,2880
female,32,Europe,156,78,OTU80,2530
female,32,Europe,169,87,OTU80,3576
female,33,Europe,174,75,OTU80,1723
female,33,Europe,166,77,OTU80,849
female,33,North America,174,89,OTU80,2084
female,33,North America,158,90,OTU80,2485
female,34,Europe,167,79,OTU80,3838
female,34,Europe,188,57,OTU80,526
female,34,Europe,186,80,OTU80,3601
female,34,Europe,177,75,OTU80,4703
female,34,North America,164,66,OTU80,1468
female,34,North America,171,62,OTU80,226
female,35,Asia,183,84,OTU80,3856
female,35,Europe,167,79,OTU80,2398
female,35,North America,182,90,OTU80,2555
female,35,North America,166,72,OTU80,1612
female,35,North America,190,78,OTU80,4274
male,18,Europe,188,69,OTU80,4341
male,18,Europe,175,73,OTU80,4235
male,18,North America,188,68,OTU80,2609
male,18,North America,184,75,OTU80,3398
male,18,North America,166,74,OTU80,2756
male,19,Asia,159,80,OTU80,2165
male,19,Europe,184,58,OTU80,2654
male,19,Europe,189,79,OTU80,2339
male,19,Europe,185,81,OTU80,2301
male,19,North America,186,77,OTU80,4288
male,20,Europe,170,89,OTU80,224
male,20,Europe,178,90,OTU80,1014
male,20,North America,169,68,OTU80,1523
male,20,North America,180,75,OTU80,4322
male,20,North America,166,78,OTU80,1131
male,21,Europe,172,76,OTU80,3153
male,22,Europe,183,86,OTU80,2667
male,22,Europe,158,70,OTU80,1354
male,22,North America,174,73,OTU80,1999
male,22,North America,186,81,OTU80,1155
male,23,Asia,186,72,OTU80,2066
male,23,Europe,160,65,OTU80,3446
male,24,North America,177,73,OTU80,1471
male,24,North America,187,67,OTU80,1616
male,25,Europe,182,79,OTU80,2622
male,25,North America,185,82,OTU80,3497
male,25,North America,168,84,OTU80,4949
male,26,Asia,180,73,OTU80,4201
male,26,Asia,190,70,OTU80,3308
male,26,Europe,190,77,OTU80,4390
male,26,Europe,186,87,OTU80,2968
male,26,North America,179,76,OTU80,353
male,26,North America,176,58,OTU80,1956
male,27,Europe,188,85,OTU80,437
male,27,Europe,158,81,OTU80,271
male,27,Europe,186,56,OTU80,3168
male,27,Europe,157,90,OTU80,247
male,27,North America,172,67,OTU80,318
male,27,North America,162,66,OTU80,3592
male,28,Europe,175,80,OTU80,412
male,28,Europe,162,85,OTU80,21
male,28,Europe,183,72,OTU80,1355
male,28,Europe,183,71,OTU80,4032
male,28,North America,175,80,OTU80,3740
male,29,Europe,164,74,OTU80,4203
male,29,North America,190,86,OTU80,4238
male,30,Europe,185,71,OTU80,989
male,30,Europe,186,58,OTU80,3370
male,30,Europe,162,57,OTU80,1555
male,30,North America,156,78,OTU80,3201
male,31,Asia,182,88,OTU80,3200
male,31,Europe,182,89,OTU80,3008
male,31,Europe,180,83,OTU80,3517
male,31,Europe,170,69,OTU80,1663
male,31,Europe,178,84,OTU80,3565
male,31,North America,186,57,OTU80,4945
male,32,Asia,187,87,OTU80,560
male,32,Europe,180,58,OTU80,4929
male,32,Europe,170,55,OTU80,2696
male,32,North America,157,79,OTU80,2520
male,32,North America,188,56,OTU80,3095
male,32,North America,174,86,OTU80,103
male,33,Europe,172,90,OTU80,3964
male,33,Europe,166,81,OTU80,770
male,33,Europe,172,87,OTU80,704
male,33,Europe,184,67,OTU80,4676
male,33,North America,183,86,OTU80,2489
male,34,Europe,174,78,OTU80,748
male,34,Europe,159,61,OTU80,2323
male,34,North America,169,68,OTU80,4586
male,34,North America,178,58,OTU80,2271
male,34,North America,188,62,OTU80,3097
female,18,Asia,186,72,OTU81,2277
female,18,Europe,160,77,OTU81,3879
female,18,Europe,156,88,OTU81,289
female,18,Europe,189,61,OTU81,1926
female,18,Europe,160,67,OTU81,4331
female,18,Europe,178,65,OTU81,1153
female,18,Europe,157,89,OTU81,2074
female,18,North America,181,82,OTU81,906
female,19,Europe,164,62,OTU81,3538
female,19,North America,179,87,OTU81,4995
female,19,North America,188,69,OTU81,797
female,20,Europe,184,65,OTU81,2290
female,21,Asia,162,90,OTU81,2663
female,21,Europe,166,78,OTU81,392
female,21,Europe,179,70,OTU81,710
female,21,Europe,157,80,OTU81,4599
female,22,Europe,168,84,OTU81,3634
female,22,Europe,174,58,OTU81,924
female,22,Europe,182,77,OTU81,2152
female,22,North America,158,87,OTU81,3976
female,23,Europe,157,83,OTU81,5000
female,23,Europe,190,64,OTU81,3693
female,24,Europe,187,82,OTU81,3068
female,24,Europe,160,61,OTU81,4179
female,24,Europe,184,55,OTU81,719
female,24,North America,164,89,OTU81,645
female,24,North America,169,90,OTU81,1188
female,25,Europe,188,83,OTU81,121
female,25,North America,179,67,OTU81,4016
female,25,North America,178,76,OTU81,1590
female,26,Europe,168,88,OTU81,756
female,26,Europe,179,64,OTU81,3084
female,26,Europe,155,73,OTU81,3108
female,26,Europe,160,68,OTU81,1445
female,27,Asia,170,64,OTU81,3124
female,27,Europe,173,59,OTU81,3575
female,27,Europe,186,82,OTU81,747
female,27,Europe,164,87,OTU81,2820
female,27,North America,186,57,OTU81,4690
female,28,Asia,166,77,OTU81,2847
female,28,Europe,175,85,OTU81,1423
female,28,Europe,163,63,OTU81,4783
female,29,Asia,164,73,OTU81,2796
female,29,Europe,159,75,OTU81,1681
female,29,Europe,184,85,OTU81,1590
female,29,North America,166,65,OTU81,698
female,29,North America,170,67,OTU81,1732
female,29,North America,167,81,OTU81,2468
female,29,North America,181,66,OTU81,1123
female,30,Europe,166,87,OTU81,4446
female,30,North America,161,78,OTU81,3885
female,30,North America,181,57,OTU81,3998
female,31,Europe,166,77,OTU81,3007
female,32,Europe,156,78,OTU81,3521
female,32,Europe,169,87,OTU81,3994
female,33,Europe,174,75,OTU81,4433
female,33,Europe,166,77,OTU81,2210
female,33,North America,174,89,OTU81,1097
female,33,North America,158,90,OTU81,3144
female,34,Europe,167,79,OTU81,2488
female,34,Europe,188,57,OTU81,1894
female,34,Europe,186,80,OTU81,4731
female,34,Europe,177,75,OTU81,2990
female,34,North America,164,66,OTU81,4037
female,34,North America,171,62,OTU81,2505
female,35,Asia,183,84,OTU81,2012
female,35,Europe,167,79,OTU81,137
female,35,North America,182,90,OTU81,4783
female,35,North America,166,72,OTU81,3690
female,35,North America,190,78,OTU81,2915
male,18,Europe,188,69,OTU81,2224
male,18,Europe,175,73,OTU81,790
male,18,North America,188,68,OTU81,4300
male,18,North America,184,75,OTU81,4542
male,18,North America,166,74,OTU81,4796
male,19,Asia,159,80,OTU81,4248
male,19,Europe,184,58,OTU81,998
male,19,Europe,189,79,OTU81,4962
male,19,Europe,185,81,OTU81,379
male,19,North America,186,77,OTU81,3599
male,20,Europe,170,89,OTU81,1089
male,20,Europe,178,90,OTU81,806
male,20,North America,169,68,OTU81,4997
male,20,North America,180,75,OTU81,2453
male,20,North America,166,78,OTU81,3043
male,21,Europe,172,76,OTU81,3581
male,22,Europe,183,86,OTU81,2831
male,22,Europe,158,70,OTU81,1850
male,22,North America,174,73,OTU81,113
male,22,North America,186,81,OTU81,1086
male,23,Asia,186,72,OTU81,1890
male,23,Europe,160,65,OTU81,3696
male,24,North America,177,73,OTU81,1853
