expression	H3K14ac	H3K18ac	H3K23ac	H3K27ac	H3K27me1	H3K27me2	H3K27me3	H3K36ac	H3K36me1	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K79me1	H3K79me2	H3K79me3	H3K9ac	H3K9me1	H3K9me2	H3K9me3	H3R2me1	H3R2me2	H4K12ac	H4K16ac	H4K20me1	H4K20me3	H4K5ac	H4K8ac	H4K91ac	H4R3me2
4.97583333717741	300	120	300	20	115	275	2220	0	300	1062	0	466	409	1709.915	60	0	534	290	450	309	265	542.5	320	120	360	285	227	120	120	60	470
7.22649260624712	360	7609.335	1044	8480.5	1485.415	286	170	4242	629	458	3680.5	2399.25	3021.25	17686.575	1175.665	1388.33	1718.25	5886.5	2715.335	224	25	350	260	1400.5	2132.5	1453.5	229	4036.165	4186.335	6997.67	250
8.5695000220024	120	4120	534	3531.165	550	228	270	2946.5	598.5	862	2903	3175.915	1803.165	10079.335	956	1691	1890.5	3132	1303	200	163	623	300	1030	1842	4858.75	85	1684	1608	4866	110
8.79826446058017	406.5	7236.165	646	10543.83	1286.665	177	230	5342.5	578	850	5369.335	2270.415	1743.25	22528.58	1171	1623.75	2511	8757.665	1891.585	403	140	449	525	1456	3379.335	660	290	6193.665	5948.665	8675.835	437
5.04097017051884	704	340	120	120	139	400	2444.5	360	516.335	250	230	533	265	1531.665	120	60	1378	350	343	145	80	395	550	60	896	380	530	180	60	300	335
4.06559694754561	240	280	180	60	30	95	1786.5	180	270	300	180	1039	532	4445.085	90	30	1112.5	120	1037	120	80	375	175	240	300	1001	235	120	240	120	235
8.48654427521632	240	2472	340	2940.335	804.75	110	180	1508	451	752	1206	2352.665	1599.58	12533.245	789	807.75	1368.5	1642	1538.75	381	85	377.165	180	828	1320	940	120	1335.665	1546	1669	328
9.01663547005439	476	5760.335	540	7205.83	786	108	160	3409	333	752	4250.835	2107	1843.5	16496.915	642	2589.25	2932.75	5960.5	2200.5	270	175	612	431	1572	2010	3463	80	2686.335	2144	7175.17	223
8.26410576372896	240	8947.835	876	10342.835	1192	175	220	6006	677.75	560	5642.5	2237.665	2252.92	18386.745	923	434	703	6247.165	2236.33	290	30	580	315	1456	1650	793	187	4768	4005.335	5947.5	200
6.43240457960269	600	3794	590	2938	673	90	500	2670.335	329	762	2705.5	1150	1646.165	7021.755	210	150	500	3493.335	1692	30	55	664.5	265	2039	1204	283	240	1884	2940	3486.665	248
2.03937707266467	120	1004	300	180	145	186	956	370	251	862	710	1774.835	1736.75	7400.575	120	0	858	460	2376.415	170	240	448	260	464	540	935.83	90	478	300	480	325
6.18721840196882	300	2167	526	2291	656	105	170	1260	368	680	2019.5	2578	1991.165	16014.165	1006	1107	1840.335	2018	2285.75	240	25	541	205	1056	1714	1242.665	140	2449.835	1977	1720	226
7.47314294894078	446	4240.335	1156.5	5660.67	1966.75	305	484	1822	698.665	790	2288	6414.245	3720.75	27819.67	2037.415	1968.25	3578.085	2831.335	4200.75	115	105	706	355	1066.5	1566	3819.915	30	2382	2105	1991.5	165
4.66256890428594	408	690	420	220	115	430	1346	966	327	816	578	883.5	2545	7166.25	150	30	713	674	1742.585	150	85	404	210	480	642	205	85	754	1212	520	205
4.79979038679553	180	0	60	0	55	220	1454	60	570	650	0	290	90	505	30	0	1297.33	300	265	385	105	440	145	120	756	345	110	120	60	0	319
6.64166638669229	240	1946	480	1606	617	110	100	1764	734.5	620	1354	1840.415	1691.665	11667.825	549	627	664.5	2508	1483.5	234	85	689	150	716	1226	371	225	1705.335	2765	804	200
7.68434246677592	327	2130.5	663	1919.415	1298.75	556	330	796	543.165	906	1391.75	3919.415	2712.415	12089.91	1092	240	946.665	1238.165	2731.58	200	80	646.5	235	473	1063	1490.5	85	889	1254.835	1547	312
6.04974406838318	650	3170.835	360	1956	889	227	290	1958	655	1086	2042	4770.665	2458	6506.505	975	300	556	1480	2255.5	320	75	595	370	1107.335	1662	1093.5	55	1329.335	1348	2143.335	235
7.23352761818105	462	1880	580	2347	942.5	248	150	1174	837.665	646	978	2591.33	1547.745	12598.415	1168	1389	1887.5	1895	1741.75	343	80	547	320	1398	1568	6003.5	284	1634	2340	2164.335	390
7.0850559187081	180	774	120	580	1260	221	390	420	546	1614.335	916	1125	758	493	2429.665	1110.665	2355	110	864	180	105	567	420	868.5	1902	7370.335	150	938	360	1324	480
7.17773661361956	120	2224.75	329	2495.415	1138.5	130	180	1086.83	560	1924	1574.75	5973.915	1177	13706.83	1658	948.75	1697.5	1934.25	2558.25	90	55	859	367	798.665	1374.25	7611.42	120	1174	1458.5	1820.08	284
5.94798668514196	420	1517	240	1772	660	159	164	987.5	435	520	956	1790.665	1035.83	6002.835	647.5	120	651	2040	1119.835	210	30	670	268	470	1157.335	366	338	1403.335	1220	942	385
8.19531573101968	354	4640.5	650	7255.5	585	140	220	1642	830	1354	2782	3456.5	1751.25	19995.82	1785	1251.665	2062.5	3805.165	2286.5	120	105	541	340	660	2131.335	2423.5	138	2334	2748.5	2501.665	198
5.87552044457716	480	6437.5	990	7214.665	1078.75	225	170	5253	411	510	4677.33	2441.75	1649.33	11194.67	760	235	1034	5190.835	2011	554	30	694	515	1753.335	3509.335	843.5	170	4149	3511.5	7144.5	315
6.84431748515526	900	1771.335	636.5	1911	1239	150	440	993	340	922	1362.335	3344.665	2462	9894.83	550	150	516	1572	3228.415	432	90	504	265	1250	898	831.665	305	1236	2034	1236	150
7.19518356923394	240	1666	338.5	1078.335	902.665	183	630	656	421	438	882	1976.665	1404.335	6350.915	920	175	461	1598	1604.165	115	85	715	172	878	1938	1130.75	110	988	1342	786	140
8.04807237237887	420	1744	650	3228.835	1564	105	160	1102	931	1188	1880	6711.5	3163.75	11867.25	2141.25	540	854	2526.665	3880.665	145	60	745.165	539	780	1955.335	4708.75	150	1538	1264	1979	225
5.57714914038927	476	230	232	180	85	140	1966	180	260	1172	0	789.665	427.5	2573.165	90	30	1602.83	0	844.665	185	50	174	135	120	894	718	205	0	180	230	310
8.50121420468049	592	5954.505	1466.5	4615	1231	245	180	4231	592	734	4222.835	3283.67	3317.25	13700.91	1328.5	888	1142	3775	2589.75	344	50	521	210	1338	3094.335	885.5	145	4072.335	3988.165	5326	376
6.13201205041456	296	2227.17	522	1476.835	814.335	85	230	942	544	460	910	2720.5	1517.25	9807.995	1078	1001	1476	1464	1499	235	25	508.5	297	720	952	1816.25	120	698	976	1667	145
5.285741875475	300	3076	600	1480	1157.5	315	210	2088	582	836	1122	2686.835	2271.75	11010.415	150	30	821	1560	2710.58	235	25	423	360	360	824	1000	260	1191.665	1232	1702.335	265
6.88489905419905	240	2428.665	412	1563.335	769	302	810	948	351	720	936	1438	1959.25	14411.33	387	150	868	1472	1852.915	210	50	569	145	888	810	927	205	810.5	1140	962	256
8.65125719217986	576	3501.5	828	3497	838	210	230	4210.335	457	1643.335	2850	2781	1597.665	9719.335	1124	390	1019.25	2913	1296	625.5	340	669	827	1544	1927	2441.17	637	3892.665	2354.335	3348.5	283
4.34909723961114	240	220	480	234	60	495.5	2897	60	534	1036.5	60	969.25	680	3687	60	90	2197.245	324	951.585	685	555	833	345	360	524	638.25	145	180	180	170	475
7.6499187886105	240	878	180	1105	806.75	164	260	1107.335	311	894	926	2412.915	875.5	10272.83	1144	193	612.665	1452	2074	320	0	551	298	590	712	1758.915	195	942	1209	1376	380
6.82362012533	360	13732.165	712	14782.505	1327.665	110	110	8336.335	1024.75	806	8402.5	10698.92	3421.165	30194.415	1537.665	2178	3175.75	12703.005	3599	314	80	728	270	1726	4719.17	3102.25	260	7320.17	4984.335	10604.5	340
4.07350049281329	420	60	120	120	30	250	2054	120	145	650	60	230	175	1192.085	0	60	1261	554	270	319	105	335	100	120	600	150	240	120	236	0	314
6.66968081427951	300	3363.5	360	3231.5	691	85	230	1470	372	400	1618.335	1654.915	1275	9012	240	0	376	1944	2291.585	200	0	474	308.25	1046	1896	1725.585	180	2255.5	3013.5	3777	140
7.32472726167607	210	3127.915	437	3454.165	980.665	170	160	1693.25	454	728	1312.5	2119.5	2375.75	19763.24	644	1737.75	2226.585	2552.25	2035.75	465	30	420	210	670.665	1353.5	1706.915	402	2115.5	1777.25	1700	110
5.0569337851964	360	844	240	60	175	110	1252	300	370	556	170	1826	265	1498	210	135	2043.5	120	913	60	110	635	373	240	534	4574.33	145	120	360	270	465
6.3697134652479	180	2358.165	480	2954.5	756	0	170	938	514	280	1183.335	2183.25	1920.75	15981.835	775	682.25	1626.5	1982	2622.835	180	145	491.5	193	832	1162	1661.42	146	948	2214	1316	210
11.9850487212186	190	924	480	2072	419	60	220	470	1088	1092	850	5061.83	1505.25	8429.34	1602.5	1714.75	1975	2116.5	1780.08	182	30	434.165	508.5	878	2242	14863.49	295	995.335	940	2591.835	413
5.68647353553356	594	3552.5	1348	6988	717	187	110	3046	712	528	1603.5	2841.5	3046.915	18415.665	766	210	657	2785	1814.665	262	60	406	175	1868.5	1918	816.335	180	2766	2658.67	2472.335	226
3.53166262010323	360	1098.335	240	450	115	250	2976.5	414	474	570	340	1568.915	608	3345.665	172	0	1808	290	1008	235	288	639	404.5	300	1216	1429.25	516	240	120	300	383
2.9413671606962	350	2828.335	566	2772.335	668	284	260	2273.5	547	342	2222	1937	1829.335	6645.5	865.665	478	1116	2711	1890.75	210	50	581	205	700	2519	749.25	175	2040.5	2537.165	3334	459
6.82061498459211	120	3555.5	706	2839.5	770	140	100	1150	318	460	1344	1791.17	1742.75	10366.92	925	330	804	2005	1852.25	270	100	371	262	634	1500	558.165	150	1824	1580.5	2291.67	254
6.09866062708639	588	4401.5	580	5277.835	546	50	280	3692.165	398	580	2313.335	1236	2239.165	12145.335	210	644	893	3420	1916.5	258	25	621	210	1080.5	1418	168	283	3625	2262	3632.5	180
8.74989254032006	469.335	7340.835	900	6787.835	1228.5	140	300	3692.5	524	470	4583.5	5752	3187.75	16559.16	893	769.665	1450.5	3244	2616.5	25	115	503	551	1046.665	1534	2108.58	147	3576.335	2302	5340.835	282
5.37816313175276	418	1696	180	1553	628	200	270	2487.165	544	420	961	558	750	7084.41	210	130	1177.67	906	968	270	130	498	346	480	590	217	420	644	816	1092	355
8.48704424507391	702	4114.5	740	6353	314	185	60	2382	275	2111	3664	2073.5	3039.995	29874.99	1036	4325.92	7239.17	4032.665	2409.915	180	140	260	382	1132	1344.5	4085.835	82	1849.835	1288	6010	195
8.72560069859755	300	3906.5	576	4419	862	80	120	2624.5	320	1152	3387.5	2192.75	1464.415	6936.415	818	823	1016	1926.335	2222	395	80	440	115	686	1916	2618.665	230	2450.5	1952	4410.5	60
8.1973831659462	600	2110.5	360	828	928.5	470	390	992	626	526	1394	4019.84	1962.665	4852.91	1000.5	1044	962	1174	2722.665	314	25	553	295	702	1290	2957.835	120	1134	1348	1761	386
8.2703958315179	712	6831.5	1654	11712.5	650	228	230	5714.67	771	910	4999.165	2469	3885.5	30011.685	1236.5	2961.25	4085.25	9841.83	3026.5	180	80	822	481.25	2448.5	3392.665	3806.915	150	4048.5	4193.665	5871	284
4.58249708281515	180	290	240	0	55	280	1732.17	300	200	1054	110	671	640	3895.825	60	0	1652.665	300	704.165	230	410	304	90	290	480	256	234	60	180	0	347
7.10413217837259	300	3863	588	6631.665	970	219	220	2852.5	632	930	4444	3570.33	2045.5	18222.825	1859.75	1171	799	4856	2321.665	255	0	791	312	1322	2434.335	3089.165	30	4026	2375	4079.5	281
7.8573956769378	210	1624.665	173	2001	869.75	105	410	1191	520	760	961	2145.335	1404.5	19875.5	1054	298	760	1332	2276.415	198	75	495	420	500	915	1163	150	773	1281.335	1758.5	145
8.51684713154443	60	1760	240	444	617	25	60	824	645	360	972	4090.245	521	2866.415	1014.335	357	911	510	1555.665	115	60	444	150	60	842	6575.91	115	180	172	1726.835	167
4.85682344574802	360	290	230	220	295	220	760	300	222	590	60	2181	642	2168.335	60	120	1265.165	338	1396.665	155	105	459.165	120	180	900	847	175	180	300	300	345
6.04738754535848	826	4995	972	4629.67	1436.25	240	350	2675	660	736	2066	3339.25	3025.665	35531.755	2096.75	1556	1830	3931.5	2903	261	55	869	382	1246	1518	2158	193	1580	2218	3091	225
7.44004391554695	300	2747	536	5101.5	672	115	170	1330	368	880	2107	5468.085	3841.335	14936.235	1872.835	1043	2044.75	2122	3933.915	0	0	735	430.5	532	1564	8234.745	236	1352	900	2986.335	260
8.58473688001139	415	5586.005	543	6816.165	1525.25	265	870	18305.25	486	828	4434.5	3181.25	2610.08	16303.42	978	935	1223	3297.5	2389	412	55	577	175	1301.335	2764.58	2169.83	265	5092.08	2690.5	6047.33	394
7.87991203436396	888	5808.165	1048	9548.835	1141	168.33	330	6444.335	532	680	5819.5	2941	2008.585	16704.58	1448	543	882	5684	2344.33	524.75	55	711	485	2351.5	3732.335	985	145	4898.665	4033.83	7139.335	396
6.82279252939441	402	1330	516	1710	1290.165	398	268	980	570	900	1206.335	3510.915	990.165	8459.59	1169.25	205	689	1470.5	1778.085	426.25	30	674	507	900	1400	3277.5	90	1408	1991	1470	434
7.59812610904531	1227.335	7300.335	812	9063.165	863.75	170	200	5313.5	482	440	6566	2298.835	3464.415	19911.08	971	2512.83	2678.5	7900.165	2189.75	180	55	628	298	2182	2955	1838.165	150	4168.165	4280	9874.17	294.165
5.89275271323311	60	418	150	485	180	155	110	262	320	350	455	778	896	4092.335	349	210	400	319	690	170	25	360	400	234	360	349	90	323	386	518	55
