expression	H3K14ac	H3K18ac	H3K23ac	H3K27ac	H3K27me1	H3K27me2	H3K27me3	H3K36ac	H3K36me1	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K79me1	H3K79me2	H3K79me3	H3K9ac	H3K9me1	H3K9me2	H3K9me3	H3R2me1	H3R2me2	H4K12ac	H4K16ac	H4K20me1	H4K20me3	H4K5ac	H4K8ac	H4K91ac	H4R3me2
4.83994305390932	894	200	420	274	295	640	1460	300	508	936	60	265	233	716.25	0	60	767.25	400	269	470	60	507	460	180	598	167	105	298	840	60	450
2.76884735705338	480	600	524	240	654	620	828	720	541	1038	1094	687	289.165	539	240	120	577	160	464	90	0	784	416	824	2091.835	644	175	1226	998	936	517.5
5.74893587507959	1422.5	5641.5	1746.5	10190.83	927.165	170	170	4134.5	175	760	5616.835	1704.5	1555.75	19135.58	1580.5	6647.66	9458.08	9745.175	1927.5	112	85	668	324	1308	2569.335	909	120	4842.5	3066	5353.835	145
8.41672292121517	702	2506	1104	6313.17	494	165	340	1320	419	1578	1922	3615.585	5877.08	36626.915	2322.83	4991.33	8380.915	3221	4835	120	50	869	435	806	776	1738.75	180	3113	1702	2948	265
4.12533195519229	300	980	0	310	363.165	472	360	650	351	360	1626	805.5	291	779	265	30	599	180	360	145	75	872.665	448	60	2162	1442.25	205	420	658	1642	536
7.89901618263764	491	1194.415	640	2750.415	1009	286	400	1670.165	508	930	920	1486.415	3220.995	14303.82	969	2160.5	2693.75	1781.5	2481.335	240	235	745	256	443	1012.665	145	177	1344	1283.25	790	235
5.35157136250338	300	160	840	394	227	160	2016.665	360	484	682	340	522	893.25	4844.665	30	0	390	620	721	150	135	430	166	60	412	116	30	582	180	280	259
4.76895007014828	180	1291.335	120	896	957	300	382	720	350	120	920	1942.5	468.75	1621.75	382	180	545	686	1020.5	115	55	584.665	270	180	1398	1456.5	85	1034	704	2216	500
4.37222626757559	460	516	120	110	285	560	1666	474	354	1214	460	255	15	337	60	60	578.25	230	180	310	223	668	294	180	512	150	120	292	640	290	618
4.49043811639786	410	1164	652	602	509	195	560	2010	115	504	1546	1178.165	381	636	210	0	90	624	295	355	0	542	180	832	1054	90	139	1088	944	1275	90
6.64220253671756	240	3235.5	656	1955	1019	298	370	1742	606	660	1959.335	5322.245	1237.5	5561.165	787	358	491	1931	3047.25	195	110	486.335	230	868	2022.335	2346	90	754	1417	3040.5	270
3.89276984714621	300	280	180	110	90	833	976	60	504	640	170	385	175	709	0	30	609	360	290	468	170	633	516	120	769.335	90	139	300	240	120	495
7.31143279029076	30	0	180	30	252	438	400	238	251	940	252	205	236	223	420	30	738	180	171	60	0	787	203	60	649	429	85	120	30	235	395
3.75318318206474	420	1176	180	180	458	700	955	720	390	540	672	265	378	420	120	60	415	230	255	230	170	535	265	120	896	90	60	990	714	1068	315
3.20258179523829	530	390	360	170	295	734	2010	360	749.5	1278	284	398	175	660	150	60	597	400	343	320	50	860	410	0	840	150	147	532	420	290	610
